msno,city,bd,gender,registered_via,registration_init_time
do2X4rh51yX9F0S2GsykTHAGYGSy9xS/47DlQd65FB4=,5,88,male,9,2010-08-23
SYJUkiuVP52SgDNm0BKamuMZNR2oECtP14mYmrJ3xhU=,14,23,female,9,2014-09-10
Rzdato0RVSA3tobjjPbr9qcTk5RnZOJwTL3uYSUaoa0=,13,35,male,3,2014-09-27
l0Nt2N3vNwsmd09PzPHBKmW2EtckvghzMbolFFFEAYA=,1,19,female,3,2015-04-17
TcxqY5pxJO6E8whX1ztOn+fO9nmfFsEn88QtqGaltGs=,13,37,male,9,2011-04-12
ypmsLoRx+tq+Xp2b3C0Q9totC0IWu4b8fKqR/lV0Pg4=,15,27,male,9,2009-09-11
vk9P64hkxGsp+8UMHPpc7pei/7RBBo1S1wNTHWJXqHc=,1,0,"",4,2016-04-30
nANugdMWtCy6U0y2a5RFYYHWv+i0EtGnFKxfvm096wY=,1,27,male,4,2016-05-18
U1o5JdOsOrxYYL8fkLEX1MlhrhwrEnul981+/BnFAGI=,1,0,"",7,2013-06-08
qthUIBgX5Tr+5Jh8wRww8cA0yL23eFtDwiT4Z+li1q4=,1,0,"",7,2014-02-05
zBnt+jPh8LOkCewXRvxzQLhqOJBJHYLkJ9AW30KJoqg=,1,0,"",7,2014-02-10
TqarYhQYAXZevjtZk8qRJcjcLapByB2nP8Qx624lTI4=,1,0,"",7,2014-02-17
0H7KvMxC4mtkP8zJtS4QgKiCTIjB1I57rn/92WKyO70=,1,0,"",9,2015-01-03
91119/XF2D4yBOnRzjWCrN7CwFUSF9ymX3hckL6WVq0=,4,42,male,3,2015-05-21
JqXNmjsqcFSQtsJWyCzfa9fPq4yxR3lbEPHbBnQjtAA=,8,26,male,3,2015-10-18
56T8UfEdKSKmmCkgnkHkZGTJYq3131VvaYATQA6XuiI=,1,0,"",7,2015-10-22
510C+wm2VxOWQijvyi+wj1TbzenSgqf9hS3a9s1ggts=,1,0,"",7,2015-10-24
MDyL/f+uYAMqXZMicWoPGOH44bZbCft17o7axQnv3sk=,13,39,female,7,2011-06-24
6F6T5pPXdgVr6CfoAcivd+2j/vVcqaSH8UYL6Thr5/k=,1,0,"",7,2012-02-21
hQ/csSgVDXjB3NV6l8HNOwNc9jR8K2dt+3a9yLd79Ao=,22,26,female,3,2012-03-29
6Nb9/BaOOnhcSfBaVbTIoEWoYtXzcBdNMKcD9mwQqEo=,12,29,female,9,2007-07-21
BSDd8LTREzBrAgNYnANvGh9snA4bAWoVjuhCkM+vsno=,15,47,male,9,2007-10-28
6IERMnIOElYyRaD3BSdbzEr/IHeuBH4lTsTXzsgk6gc=,5,28,male,9,2009-12-09
ayt7ZV6iCD44S+3UuS5n4SdahdpZMXq8T7WeAuijG0o=,4,22,female,9,2010-02-09
FWRX/xMZAVeDkKOJAjo12cUEd8/aaIScwolPCqYZdLo=,13,15,female,7,2014-05-22
wvfeDSPnSgn1IEy+OCARdu3PCl6alybqTrQrYwsq9bw=,1,0,"",7,2014-05-22
KDoZvZu5SXdXGp5qrLmRDODoP71bSQ6h411DcjyYRyY=,4,50,male,9,2007-05-07
jZye05EqGYD6ur9+ruBlyVp78a2rkgLWpZMx3XMMB/E=,13,34,male,9,2007-05-08
sOkKKdq75M4ykUmAzjKER0aTmKk7eYRMh6LcKdW4lSk=,15,21,male,3,2012-09-28
95Ng6/KHnXUyrkx59ObjZ4hi6zJJzcYpLcyei9Ts/js=,1,0,"",4,2016-01-03
MOHAuaMTJXj4A62gd9oZzNHLXcB/nsioHsjsTKh5/9k=,22,33,male,4,2016-01-04
XWk8iQxuPx/ct2sO4EOm13hWdOKkTIv232CAT6wtMn8=,1,0,"",7,2013-11-05
Srr00B0XDMuwhYvoFpfO1Aj4qKgDNvZ7qU+XY/M40tU=,1,0,"",3,2013-11-07
TtUdFwg/LoMFfxT84du0XqsSDCXPEB8rEQwl58R4joQ=,1,0,"",7,2013-11-10
hAjDerAsF6GacSea2v6Zj85HaAcue5AvRVks/3r20mw=,5,62,male,9,2013-12-04
oG5XKk1SbpjMOuTr6xqU0edOc+RaTjv1CHPKIQx1JgM=,22,33,male,9,2015-09-26
UJhDtSQLnK05ucM/IK2TKDvlixflMvHhT4SyQXhY2TA=,5,0,"",9,2015-09-28
oFjaP1a7zg0lt9ZuUOQoYSa/7bSYjJEiHawYvPhbk5Q=,1,0,"",7,2015-10-01
tBUV27rubqhAVMxsmcF1xEuLIWvAFFy22aVO5z3r298=,6,18,female,3,2015-08-18
PI6erUqv1N6GpA0cqFo80KT/zyPut6OFwF+mP6EIYlE=,22,25,male,9,2015-08-22
x53o9eYtZNZN7TrCLlEcUtY8cqYE6a/k8Q1Hd9vHTIE=,1,0,"",7,2015-08-24
TLs7vV+WvifCMTiqLEvWEnD2JAZ7oADaiR3M3RpLwk8=,1,0,"",7,2016-12-23
GPENRNJG9B+1FR8HzfVRXBtBXaVL88e7O5IBQ/7ny1Q=,1,0,"",4,2016-12-28
IoCdCtSVpdNmeSVRIgGWeaYXCDQa/oqwSafvfHFUGqo=,1,0,"",7,2017-01-07
xt46TFzqFrW8WL2QNa7973ReWjTMdiCpwQrjKqVAgX0=,5,0,"",3,2013-11-19
Q6SisKdeFNj3Ez2Z2h+SWwBo7Djz9x4UKEIIrfIx8Ac=,1,0,"",7,2013-12-08
iuEQH3RuoZOdW7f1zWXoq4QB0/jmAlez5tC6iVEsR98=,1,0,"",7,2013-12-15
wRXTA7oQdayOBYIc0ycDEoUA9/cOc+aRCagkl4jebZ8=,4,25,male,9,2010-11-21
NgSn7fuewAw20T4o/1JHArLO3O1kF5nl9JM7t50RXZA=,1,0,"",7,2016-07-19
gaaCnQ1ypMFQR7mIUOR4uhwhWOrnZB/l/G5D98w9hAY=,12,0,female,3,2014-06-29
DNSOLeMMGxmkdaFyNAYciLF5DaY3dDvsOrAuGZ8bV4Y=,1,0,"",7,2015-11-09
09NKVQuM9xEn1e+MBdV4seT/l5sylwkBjvVP/EbIBIY=,1,0,"",7,2015-12-02
JPUg8tZhchqXjZ6O3YY6CFFowGqSYASB4lwwdaN2/SE=,1,0,"",7,2015-12-03
5ou16sBmkprPXgk+SJ15D4rUtr6D0V0v3R87sMvf5Ks=,5,54,female,9,2005-11-08
KtFtCK5xwPFDCdaRuyp1vbl4bGl8o/goPpi/CuHglDY=,10,39,male,9,2005-12-19
ip26m8wAhj982/gObKMNQAa158IonorpVLV45PF4i6w=,5,29,female,3,2012-12-20
Ij1JuMwxbOpbTFuFMiPnKq9sjVO36gNr1/GQw+4MWZ8=,14,24,male,3,2013-01-10
lVqc5IgM/XypZkov35ZIyEwYa55CImKpuPNjn6w7qP8=,13,44,male,9,2011-07-04
MpohisL3ON5asMtwuCIJKOzlhp/yaqFPMyRT/vC9PzQ=,5,0,"",9,2012-12-28
3lx2tqgSy4mk2cBHkPFLBRcWm33HFbC9Q2gO020MgTM=,13,28,male,9,2013-01-08
i/EYjJCtYt0f6HNEk6reN+V+ayueAeGW7akjkR+ft8Y=,13,39,female,9,2011-01-09
abDO+WqpzD2XGu+pqA09TOZaCG7w/YtmPeyjwBQJUXM=,3,42,male,9,2011-01-26
0EYt48XC/RfbRx1BwYXGEqvJLd/du7nuyXm0sNXQTEk=,5,0,"",9,2011-02-05
tB+SvcxTGxrMc/XymA87iCMKGLIT/dWFOb56yCcoVnk=,13,45,female,9,2014-11-04
uD7zKhLGFQ2Swrk+qX8+XyMos7m65pzYaBCnigVah1E=,1,0,"",7,2014-11-29
k3jN5ZWqTqHsjTDU3Efl+Y9ZNTd1kpzHmtQy9YWMgIw=,22,38,female,9,2008-09-26
ls4x2v91cEXzpcZrxKLh0vdo7IUO+0wcYJblVCPnvbI=,18,34,female,3,2013-03-14
g6SIAhGc6pdPhDGE+J4CIz6mFe26GRwzBBr75A9Z3Lw=,4,0,"",3,2013-03-26
kVWne2QsCP4dxLN46oTVSGcAqaFY6tUUyFLo7dNrLkE=,5,20,female,3,2013-03-29
i39VsIr16EyJ/njQmEeVT+87JG9Nm4s9XXAobDGeUIQ=,1,0,"",7,2010-12-21
VdBXxxz4b5ut0tRkms4R696ddqz2erAH1JpOacm/+2s=,5,21,female,9,2011-01-09
PwR2EN6DAdgifA/QToJwTDxgqKjNVMZhA6cohWBTuf8=,6,58,female,3,2015-01-03
wIqzQhe4mVVVaJZEbxrGCxNQ8e9TWdLFojB2ivnCD/c=,13,20,female,3,2013-02-17
YLdQx3McmhKjcH8rf/mre8yT2Vdn7rzCD0fTB5UTA+M=,5,31,female,7,2012-01-21
v3bUtGLh39Nk+YgT88BBiW3FkTAt2XDPPcnYAHa6M0c=,1,0,"",7,2012-03-10
KJUpPQgrUsisqjW7RTqmgZSkfBJWpaN60glkvSya1ss=,1,0,"",7,2012-03-18
+FpcL0ZhB41qriq/vhlIQBWsZFRhGpsR+RHDYTdTGxk=,15,26,male,9,2006-09-03
cXJ2C07Uxq2OeXoW2GoHkhZh9bvCEw/5mJUYsD1biIk=,9,24,female,9,2007-02-17
zmoIuE+GT3ZYslDH1rOEsRLsrcsOm39F5aV5vhwvjA8=,13,39,female,9,2007-04-07
jS5ZWz+Wpqwxzn5qCVkixcAZz0TBw4i0A7J231WZhoU=,13,43,female,9,2009-09-09
1tj6QVNIu3SpEZT1Kg9Aevk5PCIrXF4p9a0d/Hvele4=,1,0,"",7,2015-11-30
W93NKI22dyKNa2jHDSHDjUlP23A/C2FrW6LnC+RYb/M=,1,0,"",7,2010-12-06
nqGP3CRONH4Ude6AQp87GiIhX0PMNVVVNLuDErnGetQ=,13,42,male,9,2008-07-01
KtF7fRTGvSMKM/tQbdtOGGa+1LO9Kz0rVBmZ3qWuB6M=,15,31,female,9,2008-08-03
yNxjwWOXs73k/naOeOd9QRCaIpNzhWTpSwCoKpcM8og=,1,0,"",7,2014-04-13
RoY8R2ACN/lq4sy1OjB9f+9UHnKqeNjEiRi70VVn3W8=,22,27,female,9,2007-06-24
7b+QHlr8nUMvt+U1HM2JaIzeuK/T34RuI/69ab0DigY=,22,26,male,9,2007-09-25
e8D8whalNpLkMYnlytF+ZBMsSVwSjWBG/Jqslsj1bY4=,17,30,female,9,2007-09-26
2FvvO+LXGTMKGaR9LSEpkXBqjH0v8WtkTvpTY6AC21s=,22,29,female,9,2008-02-04
tivDi/bDyy/AJTVIYvhYFke1VKPevB+UhPJAVp3tynI=,1,0,"",3,2014-08-04
Juf5NPj41JR/kKuzShrKf0TClwLsj7CYgvyGMvpvC3U=,4,19,male,3,2014-08-04
HpcVm4um8yfAkOUZkDYb16LjMPOA+S9uc0SdseyN2SQ=,18,23,female,9,2014-03-14
tykoOkk2h6OBdCFgJUJ/ey0KD7y9LtxsA4cFb53SKHs=,1,0,"",4,2016-06-12
zwLS7UUVh9VH33GTMCEqPJLB3CBzlKWVwrxwB1lyjV0=,5,23,male,4,2016-06-26
EhD7CJkpKb5+TDN852nOU0DLJB1Gz3ZaELnlIyFHseQ=,6,28,female,9,2011-04-24
atWstAafG9CdEbDwrx3zU9O8UywwCHOdt70cFmUjPgw=,13,0,female,7,2011-02-16
uwrhEz5ZUz8E/Nob59YT0BsNM7JYVxYXJ3nWTV84GxM=,1,0,"",7,2011-04-11
tbIjW99pXhbINhLIsp3SSPuEtPCgCY9WKRP6QDwOKr0=,5,20,male,4,2015-11-11
ZB2oMqbxPVTftl59ffVkzo8HcB6gfLX02QHb+1yMojQ=,13,31,male,3,2012-11-15
gt9f3N5vFDrxzRuI8ogNzKYrZcMFT/NA5GbucZojVCE=,13,32,male,3,2012-12-23
muKzkfSMCMHBYkMzGDfRzpkKjJbe36nSkLVCoXpEeDg=,5,25,female,9,2009-02-09
OtxfBcB3mGkWcpxORSO8gyKgPyP3CZUUfPHFRCWY+1Y=,13,30,female,3,2013-01-27
y3RAALTY8KVi3+li3a3fxCzhXKSOGSb8Uhji4nf6ugU=,1,0,"",7,2013-02-05
4yZ5QIomP45aQkSv2+l+5Qo6BTwReq0grQUgCs5HRg0=,13,0,"",9,2013-02-11
VHggaQZX+Jjizea62zk+qouKOZJTyGNWUCI9w1Fe4wc=,4,29,female,3,2013-04-03
Rt3sdCBOClNiQG7lj2QkooyLBQAHHXmXvW9QkKdyl8A=,5,0,"",9,2014-09-10
jEBX9s70ho4SqMqDNVfd3CMLSaYJArs85zzHuEje1WY=,1,0,"",3,2014-02-01
K6cR19W2q0pM3xTI2vKnMfWGwKn12DoPXSIFUOXeXPY=,4,0,"",7,2013-06-21
FF7fg9D6W/nyGYoV6Zqx/q3EjrdRZBjNneWVBYHcDJQ=,17,19,male,3,2012-01-19
/VN4CjTxyIgR06FmfZRXuopFooI5kd7Bs6hEg1OPVbg=,6,27,female,7,2012-01-22
E67cmFFPdlkwB5Cvi52neDyDlGm+4w2gFXoH5Dn8sWE=,22,0,male,7,2012-03-31
TqaR7Pu43MKcJC+HNM+VQOVI5kyuPEluTn+czdGysak=,1,0,"",7,2012-04-28
OVhL6pJuoqdrrwBAGgSFTa64AGZHbMbAE+k3caqyqI0=,13,23,female,3,2012-05-13
pfNS9c4tvnPrgph+eoqaW5exeA3BUD6mW8NvFo6pmLo=,1,0,"",4,2016-03-31
h+XKMeyYfT+ghOFEXiVRDY5zozUf4hFecxNvsp8Hg0U=,8,22,male,3,2013-07-06
HMQFtftd8U8bFyLt1v6Mx1ZRF7eoU7/wB2onRffVEt0=,4,23,male,3,2013-07-07
CTIvT1m8FRDl4YfTZa/DP/B+FeVJTHzSNFXQwcn0dMU=,13,34,female,9,2004-07-16
qlB4I3KQsPhQDqn/ayJ4GzuXyNVtsxyr3INl/IhjmVc=,1,0,"",7,2017-01-12
bYpbCcaq/Q16BxwQdDCdHkEJsHbWiPRjnMdXFh/wFzA=,1,0,"",9,2017-01-21
wLG0ST3/sQ5kdfO0QK6Gd6lJ6kxMnMJvpxEpWZ2v6es=,1,24,female,3,2017-01-30
00ccrtd1/6cSgUUULekXaInNoPCDfBW6GQbaSwR4rjc=,1,0,"",7,2013-07-11
P+VTp6XcyWDSQzQvC/y4yEz/Hbe7mbuF1BFfee8LYxM=,1,0,"",7,2013-07-19
/GfYCPDiTr3qFJAwDDv8YMi31F1/pZ2AeiYxueWKIgA=,13,36,male,7,2010-05-19
12jUzucPcgKCT0SDUsf5asTvb7gNP6GRBANOfy7VqFE=,4,36,male,7,2010-06-23
KgF9cHyk1eT/WZeHfw29+I+6pbm/eG2UhqMnpx4FJGQ=,1,0,"",7,2015-04-27
gh+ubaeTfz+O74TRYT0eeww6CWB4gtRI6p8r/x8kvrY=,15,26,male,9,2015-05-07
Os1rWNWBq6DO0bLH/w9ZfB2mOQhdvuvmUkJu9X+PObc=,6,21,female,3,2014-11-15
b5T2JrB3vT4CmDVkgGSDdR51BNbCsC9ZQ734Ml0nA8M=,1,0,"",7,2014-11-20
AeMPVLdONpjjeSptyxd+Fv+cu9c4/x3JEudnzmJqBmU=,13,28,female,9,2014-11-23
MkjzpeOHPbxyc8k4U4Z76T7ITVEihj0P4DX84HVA0nY=,5,25,female,3,2014-11-26
/gKTBJi9xwfsYJNtacv4fVoo7k9rRTvi5Fk6HqywneM=,13,21,male,3,2013-12-24
pvnuGyydsWb03a0evRXFQ7kr2EgQJqQGCaOIEWYCoHk=,1,0,"",7,2014-01-26
+716ToLsj5gNbM3bQ1DtJCcJiTaMFMJQR3sFimRWBbE=,15,24,female,3,2013-02-04
8rlokSqrJ4S9Ae7VJ54hJGl7eVGL6zU9g+AYoC5hc/I=,22,21,female,9,2013-02-04
ybMxkkZw0kYd9LRv6htbaDPgDRk+7RJxQFfK6U8SaMs=,5,22,male,7,2013-02-15
r6ZY+z3hPMZeA+Vqn/MozRMb3cc9vpZq97RCJjvAUZA=,1,0,"",9,2014-11-07
KY+7QP5+1/hO/JUd/PFvtTlzE7Nqe65S7jfKALnkh/c=,13,23,male,3,2014-11-07
N8hl3v4ol8Dcp5+rL+Jo4ehHTcPQR0JRtToT0SPVNdI=,8,20,female,9,2014-12-03
2CWAbspin0dg1t3FaT6xGsA2gqRUccVR/+W3AWOOaUk=,1,0,"",4,2016-03-21
38vD0NSNGWm42KNI5Yvt87JQ+WSOcfCMyRjEdT0sWOk=,1,18,male,4,2016-04-01
FOAsGsO8GXxdvGymsejBhXUabyn4JGYV5ujH3+aXmgQ=,1,0,"",9,2015-12-15
PYcyYuVsmy8iGLy4XcrdeUcP1UdgC9s3F+ouk1VjVIo=,1,0,"",7,2013-11-05
5V4XqL+j4HM5le8+EA7HrDvFKBRxU5J38IsyuEgZ+4U=,1,0,"",7,2013-11-06
EC/UCQ0SgYo2YaN+UccsMSDQloVjO63GVZz/XHBd2BU=,6,19,female,9,2012-12-07
Qcpv4PyScjVy4+/8s+99MFpcW1mkDwPiJCq5cjtczCg=,1,0,"",7,2013-01-11
YjF10dzAGn5agcfgC5X2R+jDGaJTA/xYfgtyVzPOyQ8=,3,35,female,7,2010-04-28
bAaZ9/7Ng3ghzHzaMDN57gsyjo9/juU0jL/4bWAIEF4=,1,0,"",4,2016-05-12
JfLtrbl7KkdRyadwMayBObIo/EPCsmKOOaTRNHf1MH4=,1,0,"",7,2016-05-19
IOEGSROCDcRfqfqtoIPW71efXUbMrK9CfKpgFcgPAHg=,12,27,male,9,2014-04-19
SJKIfRlsDjEUcuaH+RFSs+U+qgj2ERid214C7PCQ03s=,5,25,male,9,2010-11-26
MvUKs1jqOaegvZz9lddpcLUl0/opsposm79YwmwVUEo=,1,0,"",4,2016-03-27
C0Xb2SxqPrqvNMmVLyXULLfxXfpej6igjsTbScYf2ro=,4,27,female,3,2013-08-27
+P0y5ZZ8bY9+M3r1s+PayELAYHcwRjMt7q9sStzdUro=,5,0,"",3,2013-09-01
tCDb5SjMYKgZTjwOHp2uTVbuCGB0N5bXZPIiLmta/pE=,12,17,female,3,2013-09-01
XYRp+had0LUEo+fWGjbaQ1UK3NL1oLfiJlC2Mwmv1ak=,22,29,female,9,2011-12-12
Ze7Y7TbTJzlI0DS+C/9PPMf2NsoNU4uaizXoczNRL/o=,9,33,male,9,2011-12-14
VjF5ohYFcuaIbJafCP1PYLqthIy3T7sNucsW72ssNHE=,4,49,male,9,2015-05-21
9spMw0x6FtKpsGiaFj80aKPCOYMlYhSRb3JstWpQwQY=,1,0,"",7,2015-11-14
yBeOm95OkohHYUir+ea7ejYGcLynLBDHGwfpEMHod+s=,5,23,female,7,2014-11-25
jA8hiWVQGkXO3anGCEUIOS+M3f/gq96xNECfuW9Tr54=,7,23,female,3,2014-12-12
/iKKwJt/ST5tn1AhYB9zazaDjvQFJlCvh1PVRPq32mo=,1,0,"",7,2014-12-31
TWCgWIYAZ+eXd4TKiNoJ/e3HDoPav/z7JkIQc6CB9Y8=,1,0,"",3,2013-02-26
R0fXTKUBJy0od2xFk+9LoEp1ZeI04ogzGZb9PUkc5+Q=,4,0,"",3,2013-03-04
/a1Gjif7g7+IkUUEX0UF/to5ZKGzAki8CJJY0yUT+x8=,14,24,male,7,2013-03-05
OeitVaEP9AQylUmRE9QYkAojMayfwAtW+Q6qUIJ/BfQ=,5,25,male,9,2012-07-23
N4PfBcJwsdiEDNCaU8/w3HQDKAn0spf2yLIEz+ZuKKI=,5,31,female,9,2008-07-08
Cnlu72MApi9LYeoU9RMMjLipEpsxjxzVyswYQYmfi0Q=,13,0,"",7,2013-06-06
tRnarJ+EBB90U9yuY3EGgBuzFqWQ7gW9xlQ15zmnOq8=,4,21,male,9,2014-12-21
mj/3RjfG5S5tx2bZgXSmVodGcOeGMXOPF898uqcbF8M=,8,27,female,3,2014-12-22
jY0bu/c9/NLCOpCVv+7SvtAJVdB4C6ySsoNUGZ5NVmQ=,13,50,female,3,2012-03-17
K/mPvmddVpbFxbvKeRFQUMOcGn5YXW+661/Tg5KEMDQ=,22,29,female,3,2012-04-30
lUbb4q/+41O5yffgMzAjjl6XL9u1+4hzgxLCtNxvMeY=,1,0,"",7,2014-03-03
ZbgH7vtdWjCMQ+Ryovaey6iBnqsYyQieMoT5TNoUMy4=,15,44,female,3,2014-04-04
8rxik4h/D78CSFiv23P/u7UJyzqE8sOLHfz8Cu+Hjlk=,4,22,female,9,2013-10-12
CCY76tBIQQHJ27n8AI27+Shc8ZuUR6QgjfMVPB25pB8=,1,0,"",7,2013-11-06
riQx/L68zfcyYBCrUR4eFBDZKI1bEUlzTdVxVEaLhhY=,5,0,"",9,2014-04-22
hQzIvFbmQAz0anfAWZvJmul9oAoQI3eZteT7kGO2Z34=,1,0,"",3,2014-06-07
Yt2L5tH54IvCT4H59i00YyCSHf4yXSQ9A45imcZcdWc=,1,0,"",3,2014-06-16
gKlLybrZN8ZdJW9F8JslNRzHMn1Y27qbhEuhcdXGzXw=,1,0,"",4,2016-05-31
KPjnNWzTOPj+NJSsaJ5SV05wlCSTkfimrmJxLDjXybY=,14,30,male,7,2014-10-21
j8xwb813S8OovRIJb9OnERCr7eW1AKCVAx0tn1U2Kcg=,1,0,"",7,2015-11-10
cSiYf1HUxqOhdNrPIgWCIQTK9SfepyNElNcO3f3iqjg=,1,0,"",7,2015-11-13
VkDQUPhJ0Ibr2uz3rsxu9FxNM7rB0J0NHxMlprUC7Cw=,6,22,male,4,2016-10-14
3eSUbLDUd9TAHoZ/Uz3V8/Syd2fI/E49qamzz5B+kgY=,5,35,female,4,2015-11-09
DubM2jEkfi9YoqecP0rdOvtNqAncz98P6JwiW4o7e1A=,1,0,"",7,2016-09-18
534syKoLEdscyjrrKiVByKeuSEjc2JiWwwnitfPstuE=,4,23,female,3,2016-10-15
a5DTTJK0h6nlwSEq/skvtErth82d5jqyo1G4QErlNwA=,1,0,"",7,2016-10-16
DNjOF4lp6UYu3gGSKmznk8iwicE3vLdRFXFcQGL5sJo=,15,24,male,9,2016-10-23
OBXnBRGdqNuwISFVDA/q5nf5PTMETc7ttjm0m+MmQ1U=,1,0,"",4,2015-12-19
Y+LnSw9K/n1s5kHyl1X9ZzT3XIO8nXFHdfy4JvvK7aE=,1,0,"",4,2015-12-23
ekbZ00LLR2Sx246JfsidhQQQ7tSrqAqO0KfpG981ZPI=,4,32,female,9,2014-04-10
B12Qss9XibAkrIKN1QIJFTZMLLZXY5+iXxhYuS1Yy9Q=,13,17,male,9,2011-05-27
sZQEOhp1keEGM/gUL/rr2Mi+tnaK4Fr1JK+sg67x9yY=,13,0,"",3,2013-08-14
Z0I4PL0RNrAXDepPPr7S2e2f3q8F17sVx996/i03sgw=,5,36,male,9,2007-06-09
EU1uKk/l/WD1XDG3T2FWUDclMvHJ5UR/BCBaNHzIIvc=,3,32,male,9,2007-06-19
TmQXPfhfTTtFbT7cmnhW4cfw7dQ9GvyJL/1fGS9CLkQ=,1,0,"",7,2013-09-15
gAdRzU5L003F0sOUTwX81VWL+V55s0nvwglNrzfLmVw=,1,19,female,3,2014-08-12
mrXoh1srFVwaz+7B2DWxtYhdBrlAFHUmOi2xeVGn+TM=,1,0,"",7,2014-08-19
3ngtUwBlv+7vy5wX95Rx0bfz9zSylZmFel5ehRi1COQ=,14,22,male,7,2013-03-23
QjNmHuCvVjgfM/uAWZ01osyHkxB4HfoUe2QzaUkwUBQ=,13,31,male,9,2008-06-17
J5Grlxry9tGY8UcPE4aXTFZCUgTd5bHz6uO8mZc5XwM=,14,31,male,7,2011-05-14
9Oqw0I83F1l6ddXaTkzIe3hjQbR+vp4T7/W207UI+78=,1,0,"",7,2014-02-06
NUNHjrfH4ozx+x/NAaTox6fmlOJszCD9RpmHPKE11yw=,1,0,"",7,2013-08-02
T5orYzJHFpVHvkO55v5hw34JB1C57FjJEaxv4pWLwrY=,1,0,"",7,2013-08-06
WCV5hcVgM/u6u4ovXwCXgAs9FKKFCdmGjfI7cjZQjm8=,1,0,"",7,2013-08-16
rm0RzB93StL/WYEHzYkAwEU8rLLMpQaUAKHvfe69Clc=,1,0,"",7,2013-08-22
0TcAKaxqpZMXWYta5eM2taqspkACyLFQxOvmnGyxU5A=,22,0,"",3,2013-11-28
yJ50ZeknTtYC6+jivARlOxRAChg8f2aZGS05s4Cti+c=,13,22,female,3,2013-12-21
cweco58Nr9/p8JI1L+Cr0c/WlInJtzQArRVKC6vhVBA=,18,25,male,7,2016-03-19
B3J7+UPQUh5avX9wiGq5rAS8zYdM2zlMblc4ZHeuSwY=,1,0,"",4,2016-09-19
UefqlPCgse0k5hVGNiAfYVtHHSmQ/qU9bwOq6ATFTA0=,1,0,"",7,2016-04-17
HxaZHOJv+Iny6T0wHfNS+X4gUeXGxx1azHG6+QxSLuM=,1,25,female,4,2016-04-25
KBSG2EKAaIMCZN0ypTLoR2zR4hui3BY0jT2rubNDRkY=,1,0,"",7,2014-05-24
js3LQ9i+6KhmEDVx2Wfo8UzD9vjKh6A6K8ewTA6dAq8=,22,15,female,3,2014-05-27
hMzwPFsFmeI22Dp/olnWy1cNDovC74P0L9NQ1VeK05E=,1,0,"",7,2011-05-27
4hQKe3YdbfW2tGFAlyA14WWH618ia4BFFlYL/DGYTpE=,5,21,female,7,2011-06-02
EavcRm2CGiGAqt5doM0wAWc75IuGk7eLpRYQNHtvVXo=,22,0,"",9,2015-11-22
pvKsX6tRGJklZobZoSQc0J7rQwQ6wCA2NvQfXOzkEuc=,15,24,female,4,2015-12-13
dHxtjq8ItDJsk9ZH1BVskhkVP7QtWRca1PG5dQyty7g=,4,38,male,9,2006-01-11
cLxvZOxQm5iHrlxocrry4pg2qJlfQU5YfkUxT5Mq4zc=,1,17,female,3,2015-08-26
2S2Cc7szqlSmLAQQXMQ9vylgbczxSoySKYNV5y6aoMk=,13,54,female,9,2007-02-10
GViGv8e4YPTtTiSROM9zTlDsxN3qVDkUHQMDmVbHhhI=,3,0,"",4,2016-08-13
5WKIc2W5G9N4wGC6Re58n3Kq6dxXjp8IBmlTCVfUiuk=,1,0,"",7,2016-08-28
oL7kO+NYzJOvCqbeZv5icooqMwTiSNlYe7wXo2ATelU=,1,0,"",7,2016-08-08
z/SdfDOZbH1WqKbGpoALmKCyWuV72KRxnMkVSsjeSHQ=,1,0,"",4,2016-08-21
tz1pjnIes3jG1NePTGhQ4rWzEoYt/9I2k0H3ZIxaBU0=,1,0,"",4,2016-08-24
qxrPNO+Q9Mt8+o6adEYyuwE+Ig7Ze/S9COpiUmycu8I=,1,0,"",7,2013-12-09
nYc3gZHmV3992o18+Vn80g7Y74MOBoVOJyiOA0l0eHM=,1,0,"",7,2013-12-17
9pdob/EnW7eUrlE9kdEMwzgHidGvTj4WbRERRVQNkHY=,13,0,"",3,2013-12-20
AxTb0BrDucOg4KNY6VBi9EzLq12XGkpR7MtSWbz961g=,1,0,"",7,2013-12-22
TmsTzCutc+3ki8KBbp3aaxGhmlpXMsHdyPugT38I+Ik=,1,0,"",4,2016-09-02
aZoRizetaf3fH3B8vUjKS/naW50M1ZWCvIR1DM7ihqc=,12,33,female,9,2004-03-26
e3W/SsNLehQFXtTIK7uzYfFGIB+BW5Y/WOnqX2GXqEI=,1,0,"",9,2015-04-21
7jsNP8Dl1GlxpMd128AbBr1jkjMnkEdparF6nyP0T7k=,12,25,male,9,2009-02-03
/Jl0T5Gs4yVlBmFmejev8HjH7B5BC+bpWlTWURbbhd4=,1,0,"",4,2015-10-12
ywARe84VGwVg3iD0RvXVur9LV/Ufx+ywU2IU+uBTe+4=,1,0,"",9,2016-06-12
Fhyj2Vh5B1MgKdtQZvrm81esSFCbVUtH782sV448u6k=,21,18,female,3,2014-03-09
I0NYeT8v972I1ZBpL577wWwqSwqTwyC9ZXBbL4idHeM=,1,0,"",7,2014-04-04
nCZ4clLmtnSJetKycTgcjQjI2IY3qHDX2LzsKYeRHN0=,9,23,female,4,2015-12-30
jl+KKk1eHMZW+U0tfrKRDBtibHRMghg+s2fSBlGtqNw=,1,0,"",7,2013-10-10
